supplier_id,price_competitiveness,cost_variability,total_spend,order_frequency,average_delivery_delay,quality_rejection_rate,on_time_delivery_rate,average_late_days
SUP-001,0.9728176293726969,0.09082612369650933,2180952.04,107,0.12149532710280374,0.009345794392523364,0.9345794392523364,0.12149532710280374
SUP-002,0.970539131812399,0.089810962551436,83912380.83,4172,0.2579098753595398,0.014621284755512944,0.8914189837008629,0.2579098753595398
SUP-003,1.090914564149763,0.08849843173365829,10388962.85,456,0.3706140350877193,0.017543859649122806,0.868421052631579,0.3706140350877193
SUP-004,1.0515341104677185,0.08476027557713475,1426125.23,67,0.208955223880597,0.0,0.9104477611940298,0.208955223880597
SUP-005,1.0996930977035286,0.08232377918368944,2972062.85,127,0.33070866141732286,0.007874015748031496,0.8740157480314961,0.33070866141732286
SUP-006,1.1170165774657392,0.08836083307117534,13568470.46,581,0.2874354561101549,0.027538726333907058,0.8726333907056799,0.2874354561101549
SUP-007,0.9653550252574248,0.09781965994038656,802591.36,38,0.21052631578947367,0.0,0.9210526315789473,0.21052631578947367
SUP-008,1.0005997719741038,0.16411142504112783,12990183.01,637,10.693877551020408,0.1130298273155416,0.04081632653061224,10.693877551020408
SUP-009,0.9799749793010344,0.08919691097732568,4548352.31,226,0.2168141592920354,0.008849557522123894,0.9026548672566371,0.2168141592920354
SUP-010,1.0447022120070348,0.08781638293233943,2794370.23,128,0.15625,0.0,0.8984375,0.15625
SUP-011,1.052415777217994,0.07548112831872336,16616.72,5,0.2,0.0,0.8,0.2
SUP-012,1.0356004311154985,0.050989992464766945,91482.57,21,0.19047619047619047,0.047619047619047616,0.9047619047619048,0.19047619047619047
SUP-013,1.087846105175458,0.04155992302134069,33797.3,6,0.3333333333333333,0.0,0.8333333333333334,0.3333333333333333
SUP-014,0.9687065814427441,0.05783977803899665,123286.53,30,0.5333333333333333,0.0,0.9,0.5333333333333333
SUP-015,1.0047588968063565,0.09068287918660596,39222.45,8,0.5,0.0,0.625,0.5
SUP-016,1.0005075567602764,0.06072092216537607,24672186.74,5384,0.26411589895988113,0.014673105497771174,0.8985884101040119,0.26411589895988113
SUP-017,0.8650236417430043,0.060818696750092924,159054.13,37,0.3783783783783784,0.02702702702702703,0.8378378378378378,0.3783783783783784
SUP-018,1.0555659242940427,0.13015855655651243,628062.57,125,10.44,0.16,0.04,10.44
SUP-019,0.9818131884371666,0.06306366045907605,252265.79,47,0.425531914893617,0.0,0.8297872340425532,0.425531914893617
SUP-020,0.8607718051837786,0.040258280660917994,46084.99,12,0.6666666666666666,0.0,0.8333333333333334,0.6666666666666666
SUP-021,0.9098446585281242,0.07961014318918094,127900.75,31,0.0,0.0,1.0,0.0
SUP-022,0.9546280444926428,0.13427262554088149,8084096.02,469,0.27505330490405117,0.008528784648187633,0.8827292110874201,0.27505330490405117
SUP-023,0.9038328357762623,0.1236554195937542,1346224.7,85,0.29411764705882354,0.03529411764705882,0.8941176470588236,0.29411764705882354
SUP-024,1.0352240406094986,0.14021604149179842,5970367.25,330,0.30606060606060603,0.00909090909090909,0.8878787878787879,0.30606060606060603
SUP-025,1.0376209098327098,0.12903566178631493,16010733.91,855,0.2409356725146199,0.014035087719298246,0.895906432748538,0.2409356725146199
SUP-026,1.0540180484910298,0.13785464793924762,1197009.98,63,0.49206349206349204,0.015873015873015872,0.8095238095238095,0.49206349206349204
SUP-027,1.001351073155357,0.10928265360989524,1286274.39,71,0.09859154929577464,0.0,0.9436619718309859,0.09859154929577464
SUP-028,1.0421175706562908,0.12521065775209225,21206582.0,1144,0.25524475524475526,0.013111888111888112,0.8872377622377622,0.25524475524475526
SUP-029,1.01165348046612,0.18569878061015546,6746321.83,384,10.817708333333334,0.109375,0.0546875,10.817708333333334
SUP-030,0.9389270931003286,0.1267524339185863,350282.48,21,0.09523809523809523,0.047619047619047616,0.9047619047619048,0.09523809523809523
SUP-031,1.0494592016882014,0.12142038857332528,340737.54000000004,18,0.4444444444444444,0.0,0.8333333333333334,0.4444444444444444
SUP-032,0.888354497588329,0.12955743811041853,11105069.03,693,0.2741702741702742,0.024531024531024532,0.9004329004329005,0.2741702741702742
SUP-033,0.9006004099194664,0.13001768582745693,7735372.63,479,0.24217118997912318,0.012526096033402923,0.8977035490605428,0.24217118997912318
SUP-034,1.0091573874147004,0.13502179348572022,12181112.88,690,0.2753623188405797,0.014492753623188406,0.8927536231884058,0.2753623188405797
SUP-035,0.994528922193113,0.1370370130342782,3134437.0,181,0.19889502762430938,0.0055248618784530384,0.8895027624309392,0.19889502762430938
SUP-036,1.0774281471974805,0.1309934269364978,11943662.41,640,0.3171875,0.015625,0.875,0.3171875
SUP-037,1.0455153026824742,0.05949361278600396,136771.16,46,0.391304347826087,0.0,0.8478260869565217,0.391304347826087
SUP-038,1.0497963711409282,0.05335984191480033,5403804.6,1820,0.23956043956043957,0.013736263736263736,0.8972527472527473,0.23956043956043957
SUP-039,0.8999181045751191,0.055330776667982556,875849.45,346,0.2254335260115607,0.014450867052023121,0.9132947976878613,0.2254335260115607
SUP-040,1.0614862275855934,0.05367461812317046,3252242.39,1107,0.3107497741644083,0.018066847335140017,0.8807588075880759,0.3107497741644083
SUP-041,1.0068977676872986,0.057161084019180707,248742.74,96,0.34375,0.010416666666666666,0.875,0.34375
SUP-042,0.8951094156778234,0.057897022618352265,229228.0,93,0.4838709677419355,0.010752688172043012,0.8709677419354839,0.4838709677419355
SUP-043,1.0480701344294239,0.052408593571205,886208.16,294,0.32653061224489793,0.023809523809523808,0.8877551020408163,0.32653061224489793
SUP-044,0.9581279281715076,0.05063159944747842,908607.45,345,0.2289855072463768,0.011594202898550725,0.8985507246376812,0.2289855072463768
SUP-045,0.9167358737992084,0.05380175858932587,468904.38,177,0.23728813559322035,0.022598870056497175,0.8983050847457628,0.23728813559322035
SUP-046,0.9447963293939258,0.14110562281225972,4896798.27,1848,10.496753246753247,0.11688311688311688,0.05519480519480519,10.496753246753247
SUP-047,1.066352749270042,0.0661757045208009,152757.48,35,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.02857142857142857
SUP-048,1.1249969737895553,0.06973475114628423,324352.72,59,0.1694915254237288,0.0,0.8983050847457628,0.1694915254237288
SUP-049,0.9347647605990078,0.06502244873955568,237036.07,59,0.3220338983050847,0.0,0.8813559322033898,0.3220338983050847
SUP-050,0.968352188406342,0.06664249996452669,4566720.9,1047,0.23209169054441262,0.011461318051575931,0.8987583572110793,0.23209169054441262
SUP-051,0.9842797794292801,0.06684189479347238,10012041.29,2212,0.2897830018083183,0.014918625678119348,0.8847197106690777,0.2897830018083183
SUP-052,0.967819025280316,0.06623115583804451,3259532.52,718,0.2646239554317549,0.023676880222841225,0.8997214484679665,0.2646239554317549
SUP-053,1.0092009624184197,0.0689597497169566,1349961.36,290,0.33793103448275863,0.0034482758620689655,0.8896551724137931,0.33793103448275863
SUP-054,1.0094064326294345,0.0671955988791148,1741708.3699999999,370,0.21351351351351353,0.010810810810810811,0.9027027027027027,0.21351351351351353
SUP-055,1.081728320180253,0.06503016579078066,2753904.93,560,0.16607142857142856,0.019642857142857142,0.9267857142857143,0.16607142857142856
SUP-056,1.161405434277546,0.06826724380949398,1170242.79,206,0.20388349514563106,0.019417475728155338,0.8980582524271845,0.20388349514563106
SUP-057,0.9971795097346774,0.05303198956476185,11565869.77,1649,0.20921770770163736,0.012734990903577926,0.908429351121892,0.20921770770163736
SUP-058,1.0769554101352068,0.02776358569770253,49721.26,9,0.6666666666666666,0.0,0.7777777777777778,0.6666666666666666
SUP-059,1.0226598325840885,0.0523624452708004,4325802.42,591,0.26903553299492383,0.01015228426395939,0.9001692047377327,0.26903553299492383
SUP-060,0.9842832053021779,0.05181678490588403,1161818.86,172,0.31976744186046513,0.005813953488372093,0.8837209302325582,0.31976744186046513
SUP-061,0.9909909304881406,0.054614811163454305,5083778.69,715,0.23216783216783216,0.015384615384615385,0.9006993006993007,0.23216783216783216
