supplier_id,price_competitiveness,cost_variability,total_spend_log,order_frequency_log,quality_rejection_rate_log,average_late_days_log
SUP-001,-0.3132893859346469,0.29163403644281766,0.5246466678510509,-0.12412409617404181,-0.3132587165075712,-0.47087075606976586
SUP-002,-0.3478577955272583,0.2633762440366888,2.3311828279644575,2.070440712472962,-0.11300340062404216,-0.25252759365473065
SUP-003,1.478427789514982,0.22684093774033384,1.297238988489333,0.7422003744401776,-0.002511452554763343,-0.08931067275300808
SUP-004,0.8809640587897719,0.12278648178978963,0.3143961439240538,-0.4019525780904083,-0.6706042449270445,-0.3280327120064415
SUP-005,1.6116120196834778,0.054964727954552414,0.6778279187831334,-0.0220912568727747,-0.3693135452071142,-0.14551339068996552
SUP-006,1.874436590762306,0.22301077298405553,1.4293902914618122,0.8874055526490991,0.37297415319775573,-0.20839677072757554
SUP-007,-0.4265088864420425,0.4863045045978516,0.029869960031793766,-0.7358258946953269,-0.6706042449270445,-0.3255624094400536
SUP-008,0.10820963233960451,2.331586847744805,1.407833268482056,0.942576766594123,3.4430317338547,3.9884939412638842
SUP-009,-0.20470107395590112,0.2462836454949908,0.8884291224341307,0.3219756092513011,-0.3321494802477278,-0.3157077230710209
SUP-010,0.777313360013872,0.20785558400408122,0.6473151260919946,-0.0174176936782975,-0.6706042449270445,-0.41281937481801184
SUP-011,0.8943403370350423,-0.1355057294582637,-1.8891987615684493,-1.859936391858171,-0.6706042449270445,-0.34217502777655096
SUP-012,0.6392249567769085,-0.8172353603745729,-1.0449848381979805,-1.079652204100931,1.1164327220761,-0.3573315438952788
SUP-013,1.4318744165861819,-1.0797286068910936,-1.5378206848227556,-1.7673612258086018,-0.6706042449270445,-0.14176534473092553
SUP-014,-0.3756604813326572,-0.6265663028338584,-0.8973146333771486,-0.8736967888087538,-0.6706042449270445,0.12408041730209222
SUP-015,0.17131013034027823,0.28764671517484736,-1.4641418157776687,-1.616434386207059,-0.6706042449270445,0.08227361992930508
SUP-016,0.1068105817819908,-0.5463674368602321,1.7253286022574053,2.223570177141543,-0.1110414762857931,-0.24316630605138786
